Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,15.6,30,30,-80,-54125
0,15.6,30,25,-65,-54125
0,15.6,30,35,-80,-54125
0,15.6,30,30,-66,-54125
0,15.6,30,30,-107,-54125
0,15.6,30,36,-111,-54125
0,15.6,30,40,-94,-54125
0,15.6,30,37,-87,-54125
0,15.6,30,31,-82,-54125
0,15.6,30,27,-71,-54125
0,15.6,30,29,-103,-54125
0,15.6,30,35,-82,-54125
0,15.6,30,33,-74,-54125
0,15.6,30,25,-103,-54125
0,15.6,30,30,-90,-54125
0,15.6,30,37,-83,-54125
0,15.6,30,33,-108,-54125
0,15.6,30,32,-117,-54125
0,15.6,30,39,-86,-54125
0,15.6,30,38,-46,-54125
0,15.6,30,34,-85,-54125
0,15.6,30,28,-112,-54125
0,15.6,30,30,-134,-54125
0,15.6,30,32,-78,-54125
0,15.6,30,33,-21,-54125
0,15.6,30,26,-57,-54125
0,15.6,30,37,-67,-54125
0,15.6,30,31,-70,-54125
0,15.6,30,29,-100,-54125
0,15.6,30,34,-116,-54125
0,15.6,30,37,-101,-54125
0,15.6,30,26,-104,-54125
0,15.6,30,29,-102,-54125
0,15.6,30,31,-94,-54125
0,15.6,30,34,-109,-54125
0,15.6,30,29,-108,-54125
0,15.6,30,39,-104,-54125
0,15.6,30,35,-94,-54125
0,15.6,30,24,-105,-54125
0,15.6,30,35,-95,-54125
0,15.6,30,36,-85,-54125
0,15.6,30,31,-104,-54125
0,15.6,30,33,-84,-54125
0,15.6,30,31,-82,-54125
0,15.6,30,35,-92,-54125
0,15.6,30,42,-63,-54125
0,15.6,30,32,-88,-54125
0,15.6,30,34,-55,-54125
0,15.6,30,32,-63,-54125
0,15.6,30,34,-96,-54125
0,15.6,30,32,-102,-54125
0,15.6,30,27,-58,-54125
0,15.6,30,42,-92,-54125
0,15.6,30,36,-87,-54125
0,15.6,30,34,-113,-54125
0,15.6,30,40,-100,-54125
0,15.6,30,26,-96,-54125
0,15.6,30,33,-93,-54125
1,15.6,35,31,661,-54735
1,15.6,35,46,1417,-54735
1,15.6,35,48,1652,-54735
1,15.6,35,31,1703,-54735
1,15.6,35,37,1743,-54735
1,15.6,35,36,1762,-54735
1,15.6,35,34,1762,-54735
1,15.6,35,36,1775,-54735
1,15.6,35,42,1770,-54735
1,15.6,35,48,1811,-54735
1,15.6,35,42,1897,-54735
1,15.6,35,47,1897,-54735
1,15.6,35,44,1830,-54735
1,15.6,35,40,1821,-54735
1,15.6,35,44,1879,-54735
1,15.6,35,42,1896,-54735
1,15.6,35,46,1886,-54735
1,15.6,35,47,1894,-54736
1,15.6,35,39,1911,-54736
1,15.6,35,50,1942,-54736
1,15.6,35,46,1953,-54736
1,15.6,35,47,1960,-54736
1,15.6,35,46,1940,-54736
1,15.6,35,42,1937,-54736
1,15.6,35,46,1960,-54736
1,15.6,35,42,1959,-54736
1,15.6,35,39,1952,-54736
1,15.6,35,45,1992,-54736
1,15.6,35,45,1972,-54736
1,15.6,35,43,1939,-54736
1,15.6,35,44,1954,-54736
1,15.6,35,43,1943,-54736
1,15.6,35,45,1984,-54736
1,15.6,35,44,1933,-54736
1,15.6,35,45,1944,-54736
1,15.6,35,46,1967,-54736
1,15.6,35,39,1963,-54736
1,15.6,35,46,1983,-54736
1,15.6,35,47,1980,-54736
1,15.6,35,46,1979,-54736
1,15.6,35,46,1981,-54736
1,15.6,35,46,1999,-54736
1,15.6,35,40,1977,-54736
1,15.6,35,49,1951,-54736
1,15.6,35,49,2025,-54736
1,15.6,35,51,2085,-54736
1,15.6,35,43,2022,-54736
1,15.6,35,47,2029,-54736
1,15.6,35,50,2080,-54736
1,15.6,35,50,2032,-54736
1,15.6,35,50,2000,-54736
1,15.6,35,46,2071,-54736
1,15.6,35,35,2057,-54736
1,15.6,35,34,2017,-54736
1,15.6,35,37,1997,-54736
1,15.6,35,49,1981,-54736
1,15.6,35,48,2049,-54736
1,15.6,35,53,2118,-54736
2,15.6,40,54,2479,-55279
2,15.6,40,53,6642,-55279
2,15.6,40,56,8257,-55279
2,15.6,40,55,8529,-55279
2,15.6,40,51,8684,-55279
2,15.6,40,53,8737,-55279
2,15.6,40,53,8771,-55279
2,15.6,40,52,8780,-55279
2,15.6,40,55,8820,-55279
2,15.6,40,54,8839,-55279
2,15.6,40,52,8883,-55279
2,15.6,40,52,8908,-55279
2,15.6,40,52,8870,-55279
2,15.6,40,50,8883,-55279
2,15.6,40,52,8926,-55279
2,15.6,40,48,8932,-55279
2,15.6,40,48,8939,-55279
2,15.6,40,49,8974,-55279
2,15.6,40,46,8998,-55279
2,15.6,40,50,8979,-55279
2,15.6,40,49,8982,-55279
2,15.6,40,49,8987,-55279
2,15.6,40,49,8989,-55279
2,15.6,40,49,9006,-55279
2,15.6,40,51,9000,-55279
2,15.6,40,50,9001,-55279
2,15.6,40,54,8975,-55279
2,15.6,40,54,8967,-55279
2,15.6,40,53,8976,-55279
2,15.6,40,52,8998,-55279
2,15.6,40,51,8985,-55279
2,15.6,40,51,8972,-55279
2,15.6,40,48,8961,-55279
2,15.6,40,52,9007,-55279
2,15.6,40,51,9031,-55279
2,15.6,40,51,9015,-55279
2,15.6,40,51,9004,-55279
2,15.6,40,54,9000,-55279
2,15.6,40,54,9039,-55279
2,15.6,40,51,9050,-55279
2,15.6,40,50,9065,-55279
2,15.6,40,54,9057,-55279
2,15.6,40,53,9085,-55279
2,15.6,40,53,9105,-55279
2,15.6,40,53,9077,-55279
2,15.6,40,56,9087,-55279
2,15.6,40,55,9126,-55279
2,15.6,40,56,9116,-55279
2,15.6,40,53,9092,-55279
2,15.6,40,54,9118,-55279
2,15.6,40,56,9096,-55279
2,15.6,40,54,9110,-55279
2,15.6,40,54,9090,-55279
2,15.6,40,51,9091,-55279
2,15.6,40,52,9086,-55279
2,15.6,40,54,9042,-55279
2,15.6,40,52,9037,-55279
2,15.6,40,55,9077,-55279
3,15.6,45,75,6787,-55730
3,15.6,45,75,13569,-55730
3,15.6,45,74,15220,-55730
3,15.6,45,74,15453,-55730
3,15.6,45,75,15576,-55730
3,15.6,45,74,15681,-55730
3,15.6,45,74,15713,-55730
3,15.6,45,74,15762,-55730
3,15.6,45,74,15785,-55730
3,15.6,45,75,15847,-55730
3,15.6,45,74,15882,-55730
3,15.6,45,74,15877,-55730
3,15.6,45,74,15906,-55730
3,15.6,45,73,15917,-55730
3,15.6,45,74,15906,-55730
3,15.6,45,75,15921,-55730
3,15.6,45,73,15940,-55730
3,15.6,45,75,15937,-55730
3,15.6,45,75,15939,-55730
3,15.6,45,74,15956,-55730
3,15.6,45,73,15949,-55730
3,15.6,45,72,15993,-55730
3,15.6,45,73,16008,-55730
3,15.6,45,73,16041,-55730
3,15.6,45,72,16045,-55730
3,15.6,45,73,16030,-55730
3,15.6,45,73,15986,-55730
3,15.6,45,71,15976,-55730
3,15.6,45,73,15999,-55730
3,15.6,45,72,16014,-55730
3,15.6,45,72,16021,-55730
3,15.6,45,73,16019,-55730
3,15.6,45,73,16011,-55730
3,15.6,45,73,16064,-55730
3,15.6,45,73,16076,-55730
3,15.6,45,72,16017,-55730
3,15.6,45,73,16036,-55730
3,15.6,45,73,16033,-55730
3,15.6,45,73,16062,-55730
3,15.6,45,74,16078,-55730
3,15.6,45,73,16053,-55730
3,15.6,45,72,16057,-55730
3,15.6,45,70,16060,-55730
3,15.6,45,74,16066,-55730
3,15.6,45,73,16074,-55730
3,15.6,45,74,16058,-55730
3,15.6,45,72,16072,-55730
3,15.6,45,73,16071,-55730
3,15.6,45,63,16085,-55730
3,15.6,45,71,16114,-55730
3,15.6,45,73,16071,-55730
3,15.6,45,74,16077,-55730
3,15.6,45,73,16093,-55730
3,15.6,45,74,16078,-55730
3,15.6,45,73,16101,-55730
3,15.6,45,70,16120,-55730
3,15.6,45,74,16100,-55730
3,15.6,45,74,16094,-55730
4,15.6,50,97,11832,-56132
4,15.6,50,97,20024,-56132
4,15.6,50,97,21864,-56132
4,15.6,50,99,22073,-56132
4,15.6,50,98,22191,-56132
4,15.6,50,97,22262,-56132
4,15.6,50,95,22326,-56132
4,15.6,50,96,22348,-56132
4,15.6,50,96,22351,-56132
4,15.6,50,94,22403,-56132
4,15.6,50,94,22431,-56132
4,15.6,50,94,22446,-56132
4,15.6,50,96,22442,-56132
4,15.6,50,96,22416,-56132
4,15.6,50,96,22459,-56132
4,15.6,50,97,22507,-56132
4,15.6,50,97,22492,-56132
4,15.6,50,95,22518,-56132
4,15.6,50,95,22506,-56132
4,15.6,50,98,22522,-56132
4,15.6,50,98,22573,-56132
4,15.6,50,96,22544,-56132
4,15.6,50,98,22510,-56132
4,15.6,50,98,22504,-56132
4,15.6,50,96,22494,-56132
4,15.6,50,95,22542,-56132
4,15.6,50,97,22578,-56132
4,15.6,50,96,22588,-56132
4,15.6,50,97,22521,-56132
4,15.6,50,99,22502,-56132
4,15.6,50,96,22528,-56132
4,15.6,50,98,22539,-56132
4,15.6,50,98,22560,-56132
4,15.6,50,97,22550,-56132
4,15.6,50,98,22571,-56132
4,15.6,50,99,22592,-56132
4,15.6,50,98,22582,-56132
4,15.6,50,96,22558,-56132
4,15.6,50,98,22523,-56132
4,15.6,50,98,22544,-56132
4,15.6,50,96,22588,-56132
4,15.6,50,99,22573,-56132
4,15.6,50,98,22586,-56132
4,15.6,50,97,22597,-56132
4,15.6,50,97,22565,-56132
4,15.6,50,96,22567,-56132
4,15.6,50,97,22559,-56132
4,15.6,50,97,22563,-56132
4,15.6,50,97,22563,-56132
4,15.6,50,95,22547,-56132
4,15.6,50,98,22575,-56132
4,15.6,50,97,22611,-56132
4,15.6,50,96,22584,-56132
4,15.6,50,97,22535,-56132
4,15.6,50,99,22561,-56132
4,15.6,50,97,22574,-56132
4,15.6,50,96,22560,-56132
4,15.6,50,97,22605,-56132
5,15.6,55,131,17878,-56597
5,15.6,55,132,27254,-56597
5,15.6,55,134,29366,-56597
5,15.6,55,133,29649,-56597
5,15.6,55,133,29757,-56597
5,15.6,55,130,29791,-56597
5,15.6,55,132,29836,-56597
5,15.6,55,130,29893,-56597
5,15.6,55,129,29943,-56597
5,15.6,55,133,29926,-56597
5,15.6,55,133,29989,-56597
5,15.6,55,131,29982,-56597
5,15.6,55,128,29951,-56597
5,15.6,55,132,29934,-56597
5,15.6,55,131,29986,-56597
5,15.6,55,131,30024,-56597
5,15.6,55,132,30008,-56597
5,15.6,55,131,29991,-56597
5,15.6,55,131,29974,-56597
5,15.6,55,133,29941,-56597
5,15.6,55,134,29970,-56597
5,15.6,55,132,29981,-56597
5,15.6,55,133,30027,-56597
5,15.6,55,133,30013,-56597
5,15.6,55,132,30034,-56597
5,15.6,55,128,30056,-56597
5,15.6,55,131,30038,-56597
5,15.6,55,130,30048,-56597
5,15.6,55,132,30046,-56597
5,15.6,55,133,30028,-56597
5,15.6,55,133,30016,-56597
5,15.6,55,131,29997,-56597
5,15.6,55,131,30007,-56597
5,15.6,55,128,29997,-56597
5,15.6,55,130,30013,-56597
5,15.6,55,129,30026,-56597
5,15.6,55,129,30050,-56597
5,15.6,55,133,30030,-56597
5,15.6,55,132,29973,-56597
5,15.6,55,132,29960,-56597
5,15.6,55,132,30011,-56597
5,15.6,55,133,30004,-56597
5,15.6,55,132,29969,-56597
5,15.6,55,133,30022,-56597
5,15.6,55,129,30060,-56597
5,15.6,55,130,30049,-56597
5,15.6,55,131,30045,-56597
5,15.6,55,132,30037,-56597
5,15.6,55,126,30044,-56597
5,15.6,55,129,30043,-56597
5,15.6,55,132,30049,-56597
5,15.6,55,131,30011,-56597
5,15.6,55,129,30027,-56597
5,15.6,55,129,30045,-56597
5,15.6,55,129,30062,-56597
5,15.6,55,130,30057,-56597
5,15.6,55,132,30059,-56597
5,15.6,55,129,30067,-56597
6,15.6,60,160,25226,-56937
6,15.6,60,162,33412,-56937
6,15.6,60,160,34890,-56937
6,15.6,60,162,35122,-56937
6,15.6,60,162,35216,-56937
6,15.6,60,160,35235,-56937
6,15.6,60,157,35281,-56937
6,15.6,60,159,35341,-56937
6,15.6,60,162,35351,-56937
6,15.6,60,162,35335,-56937
6,15.6,60,160,35339,-56937
6,15.6,60,163,35354,-56937
6,15.6,60,158,35375,-56937
6,15.6,60,160,35404,-56937
6,15.6,60,160,35439,-56937
6,15.6,60,161,35455,-56937
6,15.6,60,161,35464,-56937
6,15.6,60,160,35456,-56937
6,15.6,60,159,35443,-56937
6,15.6,60,155,35451,-56937
6,15.6,60,156,35484,-56937
6,15.6,60,160,35490,-56937
6,15.6,60,160,35466,-56937
6,15.6,60,160,35416,-56937
6,15.6,60,162,35447,-56937
6,15.6,60,161,35468,-56937
6,15.6,60,161,35482,-56937
6,15.6,60,160,35493,-56937
6,15.6,60,160,35434,-56937
6,15.6,60,158,35447,-56937
6,15.6,60,160,35501,-56937
6,15.6,60,158,35481,-56937
6,15.6,60,160,35526,-56937
6,15.6,60,157,35499,-56937
6,15.6,60,157,35466,-56937
6,15.6,60,157,35493,-56937
6,15.6,60,156,35500,-56937
6,15.6,60,155,35502,-56937
6,15.6,60,157,35510,-56937
6,15.6,60,159,35506,-56937
6,15.6,60,159,35477,-56937
6,15.6,60,160,35492,-56937
6,15.6,60,157,35501,-56937
6,15.6,60,158,35498,-56937
