Trial,Mass (g),Load Cell Reading
0,50,10991.00
0,50,10975.00
0,50,10957.00
0,50,10935.00
0,50,10939.00
0,50,10964.00
0,50,10931.00
0,50,10923.00
0,50,10929.00
0,50,10972.00
0,50,10987.00
0,50,10955.00
0,50,10957.00
0,50,10937.00
0,50,10916.00
0,50,10928.00
0,50,10917.00
0,50,10908.00
0,50,10919.00
0,50,10963.00
0,50,10939.00
0,50,10921.00
0,50,10903.00
0,50,10933.00
0,50,10935.00
0,50,10934.00
0,50,10948.00
0,50,10936.00
0,50,10899.00
0,50,10930.00
0,50,10956.00
0,50,10910.00
0,50,10896.00
0,50,10925.00
0,50,10930.00
0,50,10899.00
0,50,10910.00
0,50,10932.00
0,50,10904.00
0,50,10896.00
0,50,10936.00
0,50,10976.00
0,50,10931.00
0,50,10891.00
0,50,10937.00
0,50,10941.00
0,50,10910.00
0,50,10954.00
0,50,10954.00
0,50,10927.00
0,50,10943.00
0,50,10937.00
0,50,10916.00
0,50,10920.00
0,50,10954.00
0,50,10928.00
0,50,10940.00
0,50,10962.00
0,50,10965.00
0,50,10933.00
0,50,10918.00
0,50,10909.00
0,50,10958.00
0,50,10940.00
0,50,10950.00
0,50,10951.00
0,50,10927.00
0,50,10943.00
0,50,10940.00
0,50,10926.00
0,50,10917.00
0,50,10934.00
0,50,10926.00
0,50,10962.00
0,50,10989.00
0,50,10960.00
0,50,10932.00
0,50,10939.00
0,50,10961.00
0,50,10951.00
0,50,10941.00
0,50,10942.00
0,50,10960.00
0,50,10953.00
0,50,10931.00
0,50,10907.00
0,50,10923.00
0,50,10979.00
0,50,10961.00
0,50,10963.00
0,50,10955.00
0,50,10938.00
0,50,10967.00
0,50,10954.00
0,50,10931.00
0,50,10951.00
0,50,10933.00
0,50,10901.00
0,50,10936.00
0,50,10914.00
0,50,10899.00
0,50,10942.00
0,50,10956.00
0,50,10913.00
0,50,10914.00
0,50,10917.00
0,50,10944.00
0,50,10970.00
0,50,10930.00
0,50,10905.00
0,50,10909.00
0,50,10896.00
0,50,10868.00
0,50,10904.00
1,70,15257.00
1,70,15264.00
1,70,15294.00
1,70,15275.00
1,70,15264.00
1,70,15247.00
1,70,15221.00
1,70,15249.00
1,70,15262.00
1,70,15262.00
1,70,15231.00
1,70,15271.00
1,70,15291.00
1,70,15266.00
1,70,15309.00
1,70,15316.00
1,70,15287.00
1,70,15255.00
1,70,15268.00
1,70,15300.00
1,70,15311.00
1,70,15289.00
1,70,15291.00
1,70,15307.00
1,70,15308.00
1,70,15305.00
1,70,15273.00
1,70,15237.00
1,70,15250.00
1,70,15267.00
1,70,15228.00
1,70,15233.00
1,70,15259.00
1,70,15291.00
1,70,15272.00
1,70,15230.00
1,70,15249.00
1,70,15243.00
1,70,15253.00
1,70,15254.00
1,70,15268.00
1,70,15260.00
1,70,15262.00
1,70,15255.00
1,70,15245.00
1,70,15279.00
1,70,15276.00
1,70,15292.00
1,70,15298.00
1,70,15318.00
1,70,15300.00
1,70,15292.00
1,70,15311.00
1,70,15247.00
1,70,15231.00
1,70,15257.00
1,70,15264.00
1,70,15249.00
1,70,15254.00
1,70,15247.00
1,70,15258.00
1,70,15317.00
1,70,15314.00
1,70,15271.00
1,70,15275.00
1,70,15273.00
1,70,15294.00
1,70,15304.00
1,70,15263.00
1,70,15229.00
1,70,15234.00
1,70,15220.00
1,70,15236.00
1,70,15248.00
1,70,15241.00
1,70,15268.00
1,70,15279.00
1,70,15277.00
1,70,15301.00
1,70,15283.00
1,70,15256.00
1,70,15267.00
1,70,15285.00
1,70,15294.00
1,70,15285.00
1,70,15277.00
1,70,15263.00
1,70,15250.00
