Measured Distance (mm),Nominal Distance (mm),PWM Value,Force Reading (Counts),Encoder Value (Pulses)
7,7,60,75,-70996
7,7,60,74,-70996
7,7,60,73,-70996
7,7,60,77,-70996
7,7,60,75,-70996
7,7,60,77,-70996
7,7,60,70,-70996
7,7,60,76,-70996
7,7,60,74,-70996
7,7,60,77,-70996
7,7,60,73,-70996
7,7,60,72,-70996
7,7,60,72,-70996
7,7,60,78,-70996
7,7,60,73,-70996
7,7,60,76,-70996
7,7,60,70,-70996
7,7,60,77,-70996
7,7,60,78,-70996
7,7,60,74,-70996
7,7,60,75,-70996
7,7,60,76,-70996
7,7,60,75,-70996
7,7,60,79,-70996
7,7,60,70,-70996
7,7,60,77,-70996
7,7,60,74,-70996
7,7,60,77,-70996
7,7,60,76,-70996
7,7,60,71,-70996
7,7,60,74,-70996
7,7,60,76,-70996
7,7,60,77,-70996
7,7,60,75,-70996
7,7,60,70,-70996
7,7,60,76,-70996
7,7,60,76,-70996
7,7,60,75,-70996
7,7,60,75,-70996
7,7,60,73,-70996
7,7,60,72,-70996
7,7,60,75,-70996
7,7,60,73,-70996
7,7,60,75,-70996
7,7,60,76,-70996
7,7,60,73,-70996
7,7,60,74,-70996
7,7,60,72,-70996
7,7,60,77,-70996
7,7,60,76,-70996
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,115,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,115,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,116,-70278
7,7,90,115,-70278
7,7,90,115,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,113,-70278
7,7,90,116,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,115,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,114,-70278
7,7,90,113,-70278
7,7,90,114,-70278
7,7,120,190,-71683
7,7,120,189,-71683
7,7,120,187,-71683
7,7,120,189,-71683
7,7,120,192,-71683
7,7,120,188,-71683
7,7,120,190,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,191,-71683
7,7,120,189,-71683
7,7,120,192,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,188,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,191,-71683
7,7,120,188,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,191,-71683
7,7,120,188,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,190,-71683
7,7,120,188,-71683
7,7,120,191,-71683
7,7,120,189,-71683
7,7,120,190,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,190,-71683
7,7,120,190,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,189,-71683
7,7,120,190,-71683
7,7,120,189,-71683
7,7,120,191,-71683
7,7,120,188,-71683
7,7,120,191,-71683
7,7,120,188,-71683
7,7,150,250,-72754
7,7,150,251,-72754
7,7,150,251,-72754
7,7,150,251,-72754
7,7,150,250,-72754
7,7,150,251,-72754
7,7,150,250,-72754
7,7,150,252,-72754
7,7,150,250,-72754
7,7,150,250,-72754
7,7,150,251,-72754
7,7,150,250,-72754
7,7,150,251,-72754
7,7,150,251,-72754
7,7,150,251,-72754
7,7,150,250,-72754
7,7,150,250,-72754
